id_compteur;nom_compteur;id;name;channel_id;channel_name;installation_date;url_photos_n1;counter;coordinates;photos;test_lien_vers_photos_du_site_de_comptage_;id_photo_1;url_sites;type_dimage
100036719-104036719;18 quai de l'Hôtel de Ville NO-SE;100036719;18 quai de l'Hôtel de Ville;104036719;NO-SE;2017-07-12;https://filer.eco-counter-tools.com/file/9d/176068e8b3503f6b68c846ec1741b3a744b56aede12fa81bfc29fa2c82f96d9d/X2H19027732_20190507110918.jpg;Y2H21015012;48.85372,2.35702;https://filer.eco-counter-tools.com/file/9d/176068e8b3503f6b68c846ec1741b3a744b56aede12fa81bfc29fa2c82f96d9d/X2H19027732_20190507110918.jpg/https://filer.eco-counter-tools.com/file/cd/d97fc859bef5a19d217f46db0a4ee144cfc19d12fe12a8f8f8d6d837dd05f3cd/Y2H19027732_20210810183209.jpg/https://filer.eco-counter-tools.com/file/cc/7ee37fd33279ac655cb94dac2f5cabe37169064be3d172305eee095aa8eb48cc/Y2H21015012_20220407113640.jpg/https://filer.eco-counter-tools.com/file/d7/030e39ece3b9677fd4ab1c1de4370b0613ad1c4cafd810f4b06b6489f8304cd7/Y2H21015012_20220803103347.jpg/https://filer.eco-counter-tools.com/file/db/b61f852e0d3afa4b9be0cdcfe0046cb3bb330efa17c3941fae25199cf2134fdb/14997911938171.jpg/https://filer.eco-counter-tools.com/file/bd/7b7d73a0893fc9813d303fa82a8aec6a2888b910e721b344fe519737bf51e1bd/14997911939232.jpg/https://filer.eco-counter-tools.com/file/31/7a51f8668baa67fe9fbc33f577ca62cffa13fab69148810676d42c23d007dc31/15374519009810.png/https://filer.eco-counter-tools.com/file/d0/1aba92aeca91f0ea6146e062f7994959da2ade84f8c5cded3b9f1e8424ea98d0/15718218590430.jpg;https://filer.eco-counter-tools.com/file/9d/176068e8b3503f6b68c846ec1741b3a744b56aede12fa81bfc29fa2c82f96d9d/X2H19027732_20190507110918.jpg;https:;https://www.eco-visio.net/Photos/100036719;jpg
100041488-101041488;27 boulevard Diderot E-O;100041488;27 boulevard Diderot;101041488;E-O;2013-01-17;https://filer.eco-counter-tools.com/file/b4/737b08dc5b9a60fe79446e52c13f833121f3cab8474f5146fbb062870e3dccb4/15144538460760.jpg;Y2H20124971;48.846099,2.375456;https://filer.eco-counter-tools.com/file/b4/737b08dc5b9a60fe79446e52c13f833121f3cab8474f5146fbb062870e3dccb4/15144538460760.jpg/https://filer.eco-counter-tools.com/file/3a/822c5f815c046d71fd8dc5686c7d4991543471891db8ae05f66c583d240d723a/Y2H20124971_20220407104457.jpg/https://filer.eco-counter-tools.com/file/e8/3fd19ad5bddfaafdc9c768e6c5406533bc1cab6cda8274eaaa9e6c6a6decb4e8/Y2H20124971_20220803113407.jpg;https://filer.eco-counter-tools.com/file/b4/737b08dc5b9a60fe79446e52c13f833121f3cab8474f5146fbb062870e3dccb4/15144538460760.jpg;https:;https://www.eco-visio.net/Photos/100041488;jpg
100042374-109042374;Voie Georges Pompidou SO-NE;100042374;Voie Georges Pompidou;109042374;SO-NE;2017-12-15;https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg;Y2H21025335;48.84837,2.27596;https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg/https://filer.eco-counter-tools.com/file/68/1dce0451d633e7c432c030664bb1dc9db8403605258bb6cfbb9e76fb9e5d2668/15172173001793.jpg/https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.png?filename=15374574611960.png/https://filer.eco-counter-tools.com/file/3c/2a10997edb70e56a49b040c230d44ab3c560394a4b3fcedb73c8664ffaef963c/15765772112340.jpg/https://filer.eco-counter-tools.com/file/dc/ca258975923935a97c60c5ff55bcade8612078a737101f80ba28995f29f01cdc/Y2H21025335_20220802152245.jpg/https://filer.eco-counter-tools.com/file/81/3fa335611bc26cf7cf2ec3822d0618d1ec999581b67ea0e1befd6315ca0a1481/Y2H21025335_20210330155535.jpg/https://filer.eco-counter-tools.com/file/87/8c6aaf39f1e0063e0fc5aa5c3aa7c0df859d6fed1a89cf863360a16969242e87/Y2H21025335_20210330155549.jpg;https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg;https:;https://www.eco-visio.net/Photos/100042374;jpg
100042374-110042374;Voie Georges Pompidou NE-SO;100042374;Voie Georges Pompidou;110042374;NE-SO;2017-12-15;https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg;Y2H21025335;48.84837,2.27596;https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg/https://filer.eco-counter-tools.com/file/68/1dce0451d633e7c432c030664bb1dc9db8403605258bb6cfbb9e76fb9e5d2668/15172173001793.jpg/https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.png?filename=15374574611960.png/https://filer.eco-counter-tools.com/file/3c/2a10997edb70e56a49b040c230d44ab3c560394a4b3fcedb73c8664ffaef963c/15765772112340.jpg/https://filer.eco-counter-tools.com/file/dc/ca258975923935a97c60c5ff55bcade8612078a737101f80ba28995f29f01cdc/Y2H21025335_20220802152245.jpg/https://filer.eco-counter-tools.com/file/81/3fa335611bc26cf7cf2ec3822d0618d1ec999581b67ea0e1befd6315ca0a1481/Y2H21025335_20210330155535.jpg/https://filer.eco-counter-tools.com/file/87/8c6aaf39f1e0063e0fc5aa5c3aa7c0df859d6fed1a89cf863360a16969242e87/Y2H21025335_20210330155549.jpg;https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg;https:;https://www.eco-visio.net/Photos/100042374;jpg
100044493-101044493;67 boulevard Voltaire SE-NO;100044493;67 boulevard Voltaire;101044493;SE-NO;2018-06-27;https://filer.eco-counter-tools.com/file/fa/57f590dd2aded726e99b9c6f52c0573180f1d4b8eb84f7c5bea9a11fabf280fa/Y2H18034809_20220802151938.jpg;Y2H18034809;48.86149,2.37376;https://filer.eco-counter-tools.com/file/fa/57f590dd2aded726e99b9c6f52c0573180f1d4b8eb84f7c5bea9a11fabf280fa/Y2H18034809_20220802151938.jpg/https://filer.eco-counter-tools.com/file/c2/fab6a7934a6f5d472a1b4e7f6c68552eca77bc5ac6773eb9472e307729be76c2/15302602919700.jpg/https://filer.eco-counter-tools.com/file/7d/ade19198856cd42d7e8ade9fdaa1f83dc9a9df77d26e62637f405c86012c3e7d/15978320854910.jpg/https://filer.eco-counter-tools.com/file/66/735aaf617596de01fcb9fa7abcbdd64ce1673184d31338359bce5ba4d25bc366/15718231423950.jpg/https://filer.eco-counter-tools.com/file/68/d5e7b51b0132bb5f130ad0366783dc2bb3df77f360556a769d0815cf109a4968/Y2H18034809_20200819121429.jpg/https://filer.eco-counter-tools.com/file/76/f5ac337e501a805dd5a6b639c96e1bb6f1291c62fcd24bfc806165d1e292c176/Y2H18034809_20210811114932.jpg;https://filer.eco-counter-tools.com/file/fa/57f590dd2aded726e99b9c6f52c0573180f1d4b8eb84f7c5bea9a11fabf280fa/Y2H18034809_20220802151938.jpg;https:;https://www.eco-visio.net/Photos/100044493;jpg
100044494-101044494;10 avenue de la Grande Armée SE-NO;100044494;10 avenue de la Grande Armée;101044494;SE-NO;2018-07-27;https://filer.eco-counter-tools.com/file/93/0f9896bc2167e519ab0b70529ceaeda4f2654ceb86f3b428cae3b1d8ce8ec593/Y2H18034808_20210811095605.jpg;Y2H18034808;48.8748,2.2924;https://filer.eco-counter-tools.com/file/93/0f9896bc2167e519ab0b70529ceaeda4f2654ceb86f3b428cae3b1d8ce8ec593/Y2H18034808_20210811095605.jpg/https://filer.eco-counter-tools.com/file/6f/990cf85630e9a7369683ceca24e8b72b2796b3dbaec82406bfbb8ee9a7dc906f/15765753078770.jpg/https://filer.eco-counter-tools.com/file/e2/7f164e641e5ad325dac8336abb960f02a6c4e826908333cbb1f00f0a8bf42be2/Y2H18034808_20220802130746.jpg/https://filer.eco-counter-tools.com/file/26/1dcc19e56a6a49e32a11188851837ac7ea99511a2ab43a041467d138da492826/Y2H18034808_20220802130754.jpg;https://filer.eco-counter-tools.com/file/93/0f9896bc2167e519ab0b70529ceaeda4f2654ceb86f3b428cae3b1d8ce8ec593/Y2H18034808_20210811095605.jpg;https:;https://www.eco-visio.net/Photos/100044494;jpg
100044495-101044495;7 avenue de la Grande Armée NO-SE;100044495;7 avenue de la Grande Armée;101044495;NO-SE;2018-07-27;https://filer.eco-counter-tools.com/file/8f/ab6275133072426487720794af19ebfb2ba25006fedf54165aa0d47099d9978f/Y2H18034806_20220802134231.jpg;Y2H18034806;48.87474,2.29219;https://filer.eco-counter-tools.com/file/8f/ab6275133072426487720794af19ebfb2ba25006fedf54165aa0d47099d9978f/Y2H18034806_20220802134231.jpg/https://filer.eco-counter-tools.com/file/43/34d53e202c3a1a82e46f3ac5262239f166ddaf1178d036aa669d9abc79a36843/15302615766480.jpg/https://filer.eco-counter-tools.com/file/58/2bd84088e967a80c49dffbb62895a796ef71a45a1d8235ad3b8e51ca8d94f958/15718268955250.jpg/https://filer.eco-counter-tools.com/file/83/1e892beccf18a25cbb9ace3827486af0ae54c101addbed8959f717699e45fc83/Y2H18034806_20210811100124.jpg;https://filer.eco-counter-tools.com/file/8f/ab6275133072426487720794af19ebfb2ba25006fedf54165aa0d47099d9978f/Y2H18034806_20220802134231.jpg;https:;https://www.eco-visio.net/Photos/100044495;jpg
100044506-101044506;72 boulevard Voltaire NO-SE;100044506;72 boulevard Voltaire;101044506;NO-SE;2018-06-27;https://filer.eco-counter-tools.com/file/0a/cf198280e637e8e48ba373cca2d92bb531a68659ae95a46d1cab6b85adb2fa0a/Y2H18034807_20200819122746.jpg;Y2H18034807;48.86155,2.37407;https://filer.eco-counter-tools.com/file/0a/cf198280e637e8e48ba373cca2d92bb531a68659ae95a46d1cab6b85adb2fa0a/Y2H18034807_20200819122746.jpg/https://filer.eco-counter-tools.com/file/55/d7a29510e58acac4f699640a4feacebda0b35d860e63d30c15341e14c000fb55/Y2H18034807_20210811114401.jpg/https://filer.eco-counter-tools.com/file/ce/12724050a91a3a05947ba1716f7ea8811dca93ff2bd79755d6fed58b0165cace/Y2H18034807_20220802151555.jpg/https://filer.eco-counter-tools.com/file/a3/e7f277e6bb3aaf8444d3aa185f8ab4d4c9a2999e143dca0a6b4e1622174b3aa3/15302610479460.jpg/https://filer.eco-counter-tools.com/file/f2/56fe7f8433c9f7e39c7178eee94a36b6e823f827f0964ea25e7db219159250f2/15978328765360.jpg/https://filer.eco-counter-tools.com/file/d9/b166eaaa43bf648746f10c84628d23cc4c365e3c35f4727aceff4950073dfdd9/15718236417710.jpg;https://filer.eco-counter-tools.com/file/0a/cf198280e637e8e48ba373cca2d92bb531a68659ae95a46d1cab6b85adb2fa0a/Y2H18034807_20200819122746.jpg;https:;https://www.eco-visio.net/Photos/100044506;jpg
100047533-101047533;89 boulevard de Magenta NO-SE;100047533;89 boulevard de Magenta;101047533;NO-SE;2018-11-28;https://filer.eco-counter-tools.com/file/48/4b322b77bb102481b9b6b9e0abfaa448eb9cd56d2705dd36305f48325d561548/15434006878980.jpg;Y2H18086309;48.87756,2.35535;https://filer.eco-counter-tools.com/file/48/4b322b77bb102481b9b6b9e0abfaa448eb9cd56d2705dd36305f48325d561548/15434006878980.jpg/https://filer.eco-counter-tools.com/file/af/9972044d188d2cba90f454786f4a0c78780ad6ad46120e922cc7a5a800fe29af/Y2H18086309_20220802135826.jpg/https://filer.eco-counter-tools.com/file/19/5c8e475d2cdb5d3c67b8f12550f341656199c6c27ed1458c0bd8c7b0279f2919/Y2H18086309_20210811133208.jpg;https://filer.eco-counter-tools.com/file/48/4b322b77bb102481b9b6b9e0abfaa448eb9cd56d2705dd36305f48325d561548/15434006878980.jpg;https:;https://www.eco-visio.net/Photos/100047533;jpg
100047534-101047534;16 avenue de la Porte des Ternes E-O;100047534;16 avenue de la Porte des Ternes;101047534;E-O;2018-11-29;https://filer.eco-counter-tools.com/file/ac/ff7f14607d77b5954b41522a35c4297d9977ca495ab5bcb0f17f08c041d44fac/Y2H18086310_20210811101735.jpg;Y2H20032437;48.88156,2.28122;https://filer.eco-counter-tools.com/file/ac/ff7f14607d77b5954b41522a35c4297d9977ca495ab5bcb0f17f08c041d44fac/Y2H18086310_20210811101735.jpg/https://filer.eco-counter-tools.com/file/a4/e4d34b74d33c9818de831635bd9f92086e23beee685025d284a80345b2642fa4/Y2H20032437_20220802142505.jpg/https://filer.eco-counter-tools.com/file/73/11b8981293bb964caf2783c926dfe506b3646ebb56d257d5381e0e99f5ba1773/Y2H20032437_20220406151452.jpg/https://filer.eco-counter-tools.com/file/06/6ef83e4b4f12611e839d80edc16ffd3a8debbee6f226d5540a6bee7284f07606/15434139958780.jpg;https://filer.eco-counter-tools.com/file/ac/ff7f14607d77b5954b41522a35c4297d9977ca495ab5bcb0f17f08c041d44fac/Y2H18086310_20210811101735.jpg;https:;https://www.eco-visio.net/Photos/100047534;jpg
