stationcode;name;capacity;coordonnees_geo
17107;Berthier - Place Stuart Merril;37;48.885927922355044,2.2933450341224675
15311;Quai du Président Roosevelt - Pont Aval;30;48.8343883676388,2.2656820714473724
17119;Toqueville - Cardinet;33;48.88490187110713,2.3109393194317818
21314;Chemin de Bretagne;29;48.824753068884,2.2588385956052
12155;Rottembourg - Général Michel Bizot;43;48.83787825992554,2.4044052511453633
15129;Hôpital Necker;40;48.846043490118454,2.313245013356209
6010;Chevreuse - Montparnasse;15;48.841739161231,2.3315522167367
13005;Cordelières - Arago;46;48.83548071896613,2.348572461702221
10009;Mairie du 10ème;19;48.872089449907,2.3575825989246
2005;Montmartre - Etienne Marcel;16;48.86502194581,2.3450684401448
3012;Square Emile - Chautemps;25;48.867433724231,2.3536357283592
3006;Mairie du 3ème;32;48.86446178139141,2.361762821674347
42211;Séminaire de Conflans - Liberté;26;48.823194,2.404179
3002;Saint-Gilles - Turenne;18;48.858158956779,2.3647149920992
21509;Gardenat Lapostol - Franklin Roosevelt;24;48.871839,2.222505
23101;Grande Rue - Europe;25;48.8218104687602,2.205879874527455
48008;Guy Môquet - Parvis Georges Marchais;30;48.79518840095975,2.35943466424942
2109;Réaumur - Montmartre;19;48.868230999759,2.3438260338876
23301;Les Blagis;27;48.785205,2.302526
10166;Strasbourg - Saint-Denis;16;48.869601642433,2.3542908579111
18010;Riquet - Marx Dormoy;29;48.89021003702031,2.3601756244897842
15041;Franquet - Labrouste;37;48.83287705011431,2.306762784719467
13120;Pierre Joseph Desault;19;48.82110230800372,2.378775402903557
20106;Mairie du 20ème;27;48.865302324275,2.3990669846535
16022;Jean Bologne - Passy;19;48.857566889784465,2.280027395306772
1201;Perrault - Place du Louvre;28;48.860273568996,2.3412468419093
21033;Sèvres - Maréchal Juin;18;48.8324305,2.2292812
10028;Gare du Nord - Dunkerque;29;48.880423508429,2.3527636751533
16140;Hippodrome de Longchamp;30;48.86413226532,2.239905372262
20037;Gambetta - Saint Fargeau;24;48.871244610447015,2.4039056897163396
9029;Saint-Lazare - Place d'Estienne d'Orves;39;48.8768345,2.3329067
21021;Enfants du Paradis - Peupliers;40;48.833122686454,2.2571459412575
25010;Maréchal Leclerc de Hauteclocque - Marché Buzenval;30;48.858446,2.192077
18018;Carpeaux - Place Jacques Froment;19;48.8906542,2.3309428
32023;Guy Môquet - Jean Moulin;30;48.940931521020836,2.363948999931771
9035;Gare Saint-Lazare - Place de Budapest;44;48.877753,2.327339
26009;Marceau Delorme - Pierre Brossolette;28;48.91206062860357,2.295897423568745
9020;Toudouze - Clauzel;21;48.87929591733507,2.3373600840568547
30002;Jean Rostand - Paul Vaillant Couturier;40;48.908168131015,2.4530601033354
9002;Abbeville - Faubourg Poissonnière;14;48.879223,2.349147
21323;Charlot - Stade Gabriel Voisin;31;48.827228120536,2.268122527474
11046;Place de la République - Voltaire;19;48.866830968942,2.3654810339212
19003;Quai de la Seine;24;48.884492238407525,2.3703941702842717
11023;Saint-Maur - Roquette;46;48.858688774062955,2.383553994571467
17030;Pereire - Rennequin;23;48.88364782887555,2.2952447086572647
12128;Pyramide - Ecole du Breuil;34;48.82237977153955,2.4586871266365056
31009;Place Du Général De Gaulle;26;48.8687591,2.4329931
2111;Chabanais - Petits Champs;30;48.86703740186721,2.336716018617153
31003;Paris - Emile Zola;30;48.854898095789295,2.4186685681343083
16008;Galilée - Kléber;32;48.86741186571367,2.290781380114821
13050;Quai Panhard et Levassor;57;48.82837482809675,2.384273745805574
43005;Gare RER de Vincennes;51;48.847563015126106,2.433383166790009
32003;Wilson - Métallurgie;28;48.909423010092326,2.3584435880184174
7005;Raspail - Bac;52;48.855628721101,2.3256602883339
16034;Porte d'Auteuil;33;48.8479394142243,2.2608396783471107
13014;Gare d'Austerlitz;14;48.842524,2.364044
35009;Jean Lolive - Parc Stalingrad;22;48.89206174403158,2.4091735482215886
15029;Emeriau - Place de Brazzaville;51;48.850785261674964,2.2871585190296173
18032;Porte de Clignancourt.;56;48.897488,2.343996
16123;Mahatma Gandhi;26;48.876356,2.264205
6016;Danton - Serpente;22;48.85229736258167,2.3414132371544834
15035;Place Etienne Pernet;43;48.84243457133779,2.2921819612383847
11006;Ledru-Rollin - Place du Père Chaillet;37;48.856433706943704,2.379020587761426
11043;Place Pasdeloup;21;48.862654215631,2.3670325062844
14030;Pernety - Raymond Losserand;32;48.834254627953,2.317609339387
19041;Belleville - Pyrénées;42;48.8741908,2.3860039
10036;Aqueduc - Villette;28;48.883886063895,2.367198803315
18137;Poissonniers - Nord;28;48.892511213520656,2.3522228747606277
7026;Place de Finlande;25;48.862408335967,2.3113624379039
11044;Square du Bataclan;20;48.8633762,2.3711327
12153;Terroirs de France - Lheureux;55;48.83212027074841,2.388618104159832
23105;Sèvres Rive Gauche;33;48.821443218278,2.2150785306885
9016;Choron - Martyrs;17;48.877851443502536,2.3396701365709305
16024;Ranelagh - Maison de la Radio;22;48.85293603169479,2.280449643731117
19204;Rampal - Belleville;0;48.873114661405,2.3798409114805
17015;Place de Lévis;48;48.883546851533254,2.3131933808326726
16001;Portugais - Kléber;26;48.8712148,2.2937349
6012;Saint-Germain - Ciseaux;18;48.853305277595,2.3344654618827
9034;Godot de Mauroy - Madeleine;22;48.869789,2.326347
21707;Square Etienne Jarousse;25;48.82485182597129,2.2925933450460434
3102;Bourg l'Abbé - Saint-Martin;42;48.86393331949257,2.352406270802021
17024;Villiers - Batignolles;23;48.88125253846116,2.31653843075037
8117;Place de la Madeleine - Royale;26;48.869228052648,2.324421107769
26004;Gare RER les Grésillons;22;48.919898633572764,2.31458459136273
3008;Perle - Vieille du Temple;36;48.8601346,2.3611206
44014;Camille Risch - Paul Armangot;25;48.774703,2.373685
14103;Maine - Liancourt;27;48.835064363954,2.323731449974
10006;Petites Ecuries - Faubourg Saint-Denis;28;48.87287120589831,2.3542150855064397
26005;Hôtel de Ville d'Asnières sur Seine;30;48.90999330025577,2.288238108158112
1018;Alger - Rivoli;21;48.864773553495,2.3294493936128
32024;Port - Confluence;0;48.936093926526,2.3436167797955
16139;Suresnes - Muette à Neuilly;30;48.868570404348,2.266000919044
32020;Jules Guesdes - Carnot;16;48.93828169931872,2.3508992046117783
23303;Gare de Robinson;30;48.7799259211605,2.281828634440899
23202;Henri Barbusse - Gabriel Péri;27;48.801773795836,2.2874166362216
51008;Martyrs de Châteaubriant - Jean Grandel;38;48.951432,2.211214
15012;Cambronne - Mademoiselle;67;48.843277330035214,2.30230766886348
14027;Gergovie - Alésia;36;48.83088717455243,2.318882101207347
12102;Bercy - Traversiére;30;48.846192642574,2.3703800886869
42205;Place Aristide Briand;35;48.82189236575831,2.413003742694855
30004;Jean Jaurès - Place de la Libération;30;48.90617751921,2.4391458057475
12122;Bois de Vincennes - Polygone;51;48.83544491617421,2.431421081436563
5031;Lacépède - Linné;54;48.8437035476636,2.354651279747486
3201;Payenne - Square George Caïn;24;48.8578329,2.3622643
23106;Pavé des Gardes - Charles Vaillant;20;48.81168551728,2.2111820107205
13053;Chevaleret - Tolbiac;21;48.82941,2.375934
21954;Val-Fleury;23;48.807671407991,2.2407217696309
12109;Mairie du 12ème;30;48.840855311763,2.3875549435616
14111;Cassini - Denfert-Rochereau;25;48.837525839067,2.3360354080796
22207;Rond-point du Dr Albert Schweitzer;22;48.78980918988166,2.3143940046429634
9008;Tour d'Auvergne - Rodier;17;48.879161,2.343698
10162;Alexandre Parodi - Quai de Valmy;24;48.87935941942529,2.366596162319184
41303;Gare de Nogent-le-Perreux;32;48.83842553348809,2.493693307042122
15112;Vigée-Lebrun - Anselme Payen;24;48.838683941628375,2.3110422492027287
15042;Henry Farman;16;48.83372430280548,2.2713854536414146
21312;Lucie Aubrac - Fort;30;48.818144834008976,2.271184623241425
15054;Lecourbe - Jean Maridor;19;48.83796366147599,2.2877392172813416
44013;Edouard Tremblay - Julian Grimaux;30;48.781383825117,2.3723508417606
16108;Sablons - Georges Mandel;38;48.863875,2.28189
16136;Théophile Gautier - François Millet;30;48.85034821320644,2.273029983043671
19032;Villette - Belleville;48;48.8726877314,2.376461327076
8057;Hoche - Tilsitt;33;48.874836457837,2.2971323132515
24001;Arche - Léonard de Vinci;28;48.89790972494496,2.2383723043644914
42302;Aristide Briand - Gare de Bagneux;22;48.79387269664978,2.321148812770844
32016;Place de la Porte de Paris;40;48.93009363207303,2.3564037680625916
19008;Flandre - Alphonse Karr;26;48.89465,2.381868
41402;Victor Hugo - Ecoles;25;48.80476007936134,2.4180373930262093
10113;Parmentier - Hôpital Saint-Louis;43;48.871379874257,2.3698963836667
17011;Fragonard - Porte de Clichy;56;48.894155633419,2.3143893107772
20040;Parc de Belleville - Julien Lacroix;26;48.8703459,2.3842214
13026;Place Jean Delay;35;48.823316,2.354336
14130;Jonquoy - Didot;30;48.82890454823947,2.31648076325655
31019;Vincennes - Douy-Delcupe;38;48.85493692155721,2.436049282550812
44012;Génie - Mozart;19;48.794902381218904,2.3734183609485626
9117;Bellefond - Maubeuge;31;48.878255397645,2.3452642187476
12107;Diderot - Pierre Bourdan;21;48.847648620797,2.3902582749724
7008;Villersexel - Saint-Germain;16;48.858297001218,2.3237934708595
15059;Parc André Citroën;65;48.840639944296655,2.2780618071556096
12108;Bercy.;66;48.839966914994,2.3788625746965
16016;Paul Doumer - La Tour;34;48.860116109626574,2.280840481911055
33005;République - Henri Barbusse;32;48.90661553626751,2.389432489871979
10164;Claude Vellefaux - Sambre et Meuse;34;48.875022,2.370478
8049;Georges V - François 1er;22;48.87034,2.30082
22017;Charles de Gaulle - Louis Philippe;28;48.881742142181,2.2710045335353
22012;Madeleine Michelis - Roule;25;48.88260431301364,2.2773634269833565
31017;Jean Moulin - Paul Doumer;20;48.8622179854695,2.45533436536789
92005;Gare de Nanterre Ville;43;48.8950295,2.1957932
14101;Gare Montparnasse - Edgar Quinet;33;48.841487851079,2.3233232282801
5014;Jean Calvin - Tournefort;28;48.84158856925782,2.348489575088024
22206;Louis Pasteur - Albert Petit;31;48.796261,2.317289
13516;Glacière - Soeur Catherine Marie;40;48.829522989420596,2.343570403754711
7109;Place Joffre - Frédéric le Play;38;48.853754486938,2.3044242337346
10019;Paradis - Hauteville;31;48.874999954666755,2.3522757401923404
5007;Ecoles - Carmes;36;48.848904447989405,2.3473486304283147
18202;Diane Arbus;38;48.898800717199,2.3524022474885
14132;Bézout - Général Leclerc;30;48.82884804502439,2.3285973072052
4009;Village Saint-Paul;28;48.852639866624806,2.3607301712036137
6007;Bréa - Raspail;24;48.842738478258,2.3297942217634
12123;Château de Vincennes;52;48.84423193255657,2.439209537709179
13024;Bobillot - Tolbiac;33;48.8255961335041,2.350204177200794
15069;Félix Faure - Convention;44;48.841249336041045,2.288386600849503
15024;Suffren - La Motte-Piquet;23;48.85088123091874,2.301219999790192
41602;Place Charles Digeon;32;48.84354203133597,2.418427169322968
14035;Maine - Jean Zay;50;48.837925263898,2.3225428909063
20005;Reynaldo Hahn - Lagny;19;48.849266043601794,2.412330328844772
11028;Guillaume Bertrand - République;38;48.863825174341,2.380906377155
6005;Montparnasse -  Square Ozanam;49;48.843310567822,2.3265242949128
21007;Rond-Point Rhin et Danube;53;48.840452820991764,2.2280225157737736
13013;Saint-Marcel - Hôpital;21;48.83950442458303,2.360989417022932
21511;Marcel Monge - Marcel Dassault;46;48.86096384533371,2.2246733296048142
8044;Alfred de Vigny - Place du Général Brocard;33;48.87836138361425,2.305254448220567
15122;Place Charles Vallin;26;48.835523812041,2.3025986552238
7018;Ségur - d'Estrées;19;48.851419978983,2.3097044974566
18134;Ney - Porte de Clignancourt;25;48.8978867,2.3458001
31103;Gare Rosny-Bois-Perrier;36;48.88115023337061,2.480436824262142
41209;Cimetière de Fontenay-sous-Bois;15;48.84706173362218,2.4787822365760808
22406;Guy Môquet - Etienne Dolet;23;48.81527009991819,2.298078276995073
14124;David Weill - Parc Montsouris;22;48.821092374256104,2.333725690841675
31008;François Debergue - Croix de Chavaux;57;48.857421708072074,2.437578141689301
15103;Cauchy - Cévennes;51;48.8433725710224,2.275132834911347
17125;Marie-Georges Picquart - Pereire;32;48.88863669349711,2.3111706599593163
11042;Grand Prieuré - Crussol;49;48.864660627935,2.3692265531829
19125;Place de l'Édit de Nantes;30;48.88879,2.3785
28001;Richard Wallace - Place du 8 Mai 1945;30;48.87866794788021,2.2420343756675725
7015;Varenne;47;48.857202661803,2.3152771219611
8055;Courcelles - Place des Ternes;31;48.878199928923124,2.2992860188665043
23701;Parvis Robert Schuman - Roger Salengro;24;48.812657470558754,2.1921751275658607
18005;Tardieu - Chappe;18;48.884146759782,2.341845408082
5002;Sommerard - Saint-Jacques;34;48.850310432924466,2.345015835298588
15028;Grenelle - Dr Finlay;71;48.851315406715976,2.2919502854347233
13102;Pitié-Salpêtrière;51;48.83748810318667,2.365213818848133
19009;Cité des Sciences et de l'Industrie;30;48.89659571178903,2.384599149227142
18033;Belliard - Damrémont;34;48.89669238777841,2.338023450388167
16043;Place de Passy;15;48.85780291711202,2.277500546942199
23008;Hôtel de Ville de Levallois Perret;26;48.89314451997415,2.2888818383216862
22002;Argenson - Château;25;48.888559314669514,2.2642001509666447
12150;Bastille - Quai de la Rapée;27;48.84682410855,2.3669364675879
13021;Boussingault - Tolbiac;28;48.82603516605852,2.342176808004326
31707;Edouard Vaillant - Galliéni;49;48.858462881661,2.4147954583168
10153;Gare du Nord - Denain;20;48.879595787608,2.3544725775719
44002;Paul Vaillant-Couturier - Gare RER;26;48.80108159069614,2.402097210288048
20009;Docteurs Déjérine - Pte de Montreuil;20;48.85398448133697,2.41208288897222
42305;Vanne - Saussaies;20;48.786404,2.338848
9101;Cadet - La Fayette;0;48.875601632672,2.3435704037547
22008;Charles de Gaulle - Graviers;0;48.883151759186,2.2648814320564
13033;Porte d'Italie;13;48.817161987718954,2.360236309468746
22501;Théâtre de La Garenne;20;48.905658361454,2.2345951981176
18006;Square Louise Michel;36;48.884687354509,2.3441386967897
41205;Maréchal Joffre - Verdun;20;48.85385,2.470307
18041;Rochechouart - Martyrs;20;48.882193779572,2.3405495658517
32601;Porte des Lilas - Faidherbe;39;48.87861855668978,2.4120327830314636
92006;Place Nelson Mandela;30;48.897874318180556,2.2182820737361912
20015;Bagnolet - Orteaux;36;48.85708641027236,2.3984125256538396
15006;Cherche-Midi - Hôpital Necker;38;48.84461063309956,2.317914068698883
23102;Hôtel de Ville de Sèvres;32;48.824363561288756,2.2131047397851944
13052;Leredde - Tolbiac;44;48.82887629664,2.3744382709265
20008;Pyrénées - Avron;32;48.853246898211985,2.405871044529538
20024;Gambetta - Père Lachaise;29;48.864295696165875,2.398228667282044
41405;Place de l'Europe - Alfortville;24;48.78913702405837,2.4284800887107854
21506;Maurice Payret-Dortail;22;48.87811957063342,2.2233625128865246
13017;Nationale - Vincent Auriol;33;48.83252708397293,2.362354410392119
31001;Lagny - Auguste Blanqui;27;48.84922568052601,2.4218603968620305
41208;Alouettes - Maréchal de Lattre de Tassigny;22;48.85511009293948,2.4930700287222862
42704;Mairie du Kremlin-Bicêtre;25;48.81191981537702,2.3570189997553825
13054;Pau Casals - Neuve Tolbiac;53;48.8311602,2.3774395
15040;Saint-Amand - Labrouste;36;48.834097274832295,2.3087677359581
42018;Amédée Huon - Fort d'Ivry;31;48.805131376899986,2.388489693403244
22603;Place de la Division Leclerc;35;48.793824988636516,2.2731140430551027
2020;Danielle Casanova - Opéra;20;48.867643242297,2.3333894088864
42022;Gare RER - Maurice Grandcoing;37;48.813881,2.392429
20048;Bagnolet - Place Saint-Blaise;28;48.85973,2.40334
42030;Stéphanie Bouvard - Gambetta;30;48.814548138856,2.4024386957288
5201;Saint-Jacques - Soufflot;0;48.846280383395,2.3430785379567
42303;Place Eustache Deschamps;20;48.793855,2.336637
41605;Général De Gaulle - Vivien;22;48.83607420090204,2.4189166724681854
6025;Assas - Rennes;32;48.8492084999386,2.32851454623001
20014;Charonne - Alexandre Dumas;35;48.85607741505607,2.394869327545166
7010;Constantine - Université;65;48.860680473738334,2.314848195584221
31701;Mairie de Bagnolet;28;48.868421318555,2.4179587885737
12017;Saint-Mandé - Docteur Arnold Netter;39;48.84462585769668,2.404946386814118
11038;Temple - Charlot;45;48.865709343796,2.3652737250724
48011;Epi d'Or - Chevilly;20;48.781109786782,2.3549050362061
11001;Richard Lenoir - Place de la Bastille;53;48.8538327,2.3697222
9104;Caumartin - Provence;22;48.874422773426545,2.3284685611724854
8050;Boétie - Ponthieu;33;48.871417284355,2.3076787590981
10013;Alibert - Jemmapes;60;48.871044051984,2.3661044619878
17025;Chazelles - Courcelles;35;48.879406604954,2.3034455627202988
14002;Edgar Quinet - Raspail;46;48.83940266673835,2.32971478253603
17203;Place de la Porte de Champeret;0;48.886062068226,2.2917001576821
31102;Boissière - Etienne Dolet;21;48.876111,2.4677312
11030;Oberkampf - République;24;48.865316087070475,2.3761147849099955
5123;Saint-Germain - Thenard;31;48.850571,2.3471015
23009;Anatole France - Louise Michel;50;48.88873214926474,2.2881576418876652
25008;Place du 8 Mai 1945;0;48.871552174017,2.2025031970585
16124;Route de Sèvres - Porte de Bagatelle;66;48.87525984132485,2.249415814876557
20120;Evariste Galois;0;48.873087537345,2.4133380129933
92003;Chanzy - Sud-Est;25;48.888912037698766,2.195632159709931
14001;Edgar Quinet - Gaité;27;48.84116092896631,2.32459545135498
20136;Henri Chevreau - Couronnes;27;48.87033205312931,2.388777695596218
11101;Charles Delescluze;49;48.85242200848887,2.380632497370243
11020;Belfort - Voltaire;39;48.8563358,2.3829901
13043;Dunois - Clisson;51;48.832294,2.3674523
9023;Laffitte - Italiens;33;48.871815737396,2.3372015478451
15002;Maine - Antoine Bourdelle;17;48.84308531746595,2.320263946784738
8001;Petit Palais;46;48.8667692,2.3157655
21024;Billancourt - Général Leclerc;22;48.8322649,2.2380413
10163;Gare du Nord - Demarquay;30;48.881154,2.358411
4010;Saint-Antoine Sévigné;26;48.8550222,2.3612322
8105;François 1er - Lincoln;31;48.869517979344,2.3024262188416
11012;Montreuil - Voltaire;34;48.850507011842,2.3930755582745
17005;Brochant - Clichy;53;48.89032998912038,2.319730559929781
44103;Pont De Charenton;18;48.8179685,2.4199531
21951;Place Centrale;22;48.78740167690531,2.2278830409049992
16014;Eylau - Trocadéro;24;48.863354122371,2.2864209115505
21203;Place Jules Ferry;28;48.812107928414775,2.325837314128876
15052;Convention - Vaugirard;48;48.83767682233156,2.295586926020252
31021;Résistance - Hoche;29;48.864273423741956,2.435784414410591
21031;Cimetière de Boulogne-Billancourt;40;48.830764,2.252024
14010;Jean Moulin - Place Victor et Hélène Basch;41;48.82764910241,2.3261967301369
43001;Paris - Laitières;22;48.84630274151258,2.4207553267478947
22408;Place du 14 Juillet;22;48.8192669595252,2.30119988322258
33015;Charles Tillon - Cimetière Communal;30;48.91844023641836,2.3935630917549138
22015;Île de la Jatte;23;48.894036161302104,2.2666339203715324
18030;Joseph Dijon - Ornano;37;48.89374453351521,2.3476678133010864
20044;Davout - Volga;28;48.852919679957296,2.410522909779111
15001;Gare Montparnasse - Arrivée;43;48.843827994315,2.3225811123848
14135;Jourdan - Cité Universitaire;39;48.819897343156676,2.3397007964124366
3010;Beaubourg - Michel-le-Comte;17;48.862534941806,2.3543103039265
13125;Gare d'Austerlitz - Pont Charles de Gaulle;55;48.842319830109304,2.3670300096273422
4015;Mairie du 4ème;44;48.855949910497,2.3563823103905
2012;Choiseul - Quatre Septembre;44;48.8699355331869,2.3359975218772893
4101;Bastille - Beaumarchais;23;48.853833463852,2.3685702681541
3007;Archives - Pastourelle;28;48.8623615,2.3595041
23206;Béranger - Félix Faure;28;48.80404828621485,2.2848263373723436
2022;Saint-Fiacre - Poissonière;35;48.870828911558,2.3459213599563
5027;Gobelins - Port-Royal;40;48.837135900263,2.3515201359987
34011;Clef des Champs - Albert Dhalenne;28;48.914938,2.330665
12119;Dom-Pérignon - Gravelle;50;48.82548157443457,2.4098803102970128
48006;Maxime Gorki - Paul Vaillant-Couturier;20;48.79673508795443,2.3683342337608337
10003;Hauteville - Bonne Nouvelle;17;48.87077436024,2.3496496368327
17117;Pereire - Saussure;32;48.888229075478,2.3101296275854
21107;Bertrand Sincholle - Henri Barbusse;23;48.89925982394349,2.3042294383049016
42027;Verdun - Pierre et Marie Curie;26;48.812822398263286,2.3707106709480286
15058;Place du Moulin de Javel;45;48.84021670922,2.2716060653329
20030;Ménilmontant - Père Lachaise;56;48.863287291502,2.3869940266013
22302;Gare RER - Général de Gaulle;41;48.933548439566,2.3064726536317
41212;Nungesser - Santé;22;48.852335,2.448967
10038;Place du Colonel Fabien;27;48.87756832086,2.3698791861534
31303;Simone Signoret - Paris;28;48.903600624712865,2.465406596265139
8026;Messine - Place Du Pérou;12;48.875448033960744,2.315508019010038
7003;Square Boucicaut;60;48.851296433665276,2.325061820447445
7002;Vaneau - Sèvres;35;48.84856323305935,2.3204218259345537
14108;Le Brix et Mesmin - Jourdan;21;48.82234096593411,2.327861653302471
31024;Romainville - Vaillant-Couturier;38;48.86785,2.446748
19033;Cambrai - Benjamin Constant;43;48.89594736851349,2.381133802246315
21326;Moulin de Pierre - Abbé Grégoire;20;48.822036188382,2.2754641655975
16118;Michel-Ange - Parent de Rosan;26;48.840579923690115,2.2584119439125065
9014;Faubourg Montmartre - La Fayette;35;48.87525454905335,2.340853661298752
9001;Bellefond - Poissonnière;17;48.87759897050706,2.348463758826256
12031;Gabriel Lamé;36;48.8351212784276,2.385534569621086
31706;Château - République;26;48.862923800596,2.4155035614967
45003;11 Novembre 1918 - 8 Mai 1945;36;48.80889533774377,2.5382421165704727
41302;Charles de Gaulle - Beauté;49;48.83649602312711,2.479562651149885
10042;Enghien - Faubourg Poissonnière;33;48.872420063053,2.3483952362828
42021;Raspail - Manufacture des Oeillets;32;48.8094458,2.3903009
5012;Estrapade - Ulm;16;48.84512772828039,2.3454568170361734
7102;Mairie du 7ème;27;48.8577967,2.3192664
11004;Charonne - Faubourg Saint-Antoine;34;48.852191909696,2.3740932717919
18201;Tristan Tzara -  Tchaïkovski;33;48.89490221746837,2.3648490384221077
42029;Stalingrad - Germaine Tailleferre;28;48.80257200481316,2.3786691203713417
6013;Jacques Callot - Mazarine;28;48.85528017533187,2.337574325501919
11009;Boulets - Voltaire;24;48.85218705621,2.3890301585197
41102;Gare de Laplace;43;48.80893199114179,2.3349460959434514
14034;Ouest - Château;23;48.83617286014242,2.319392143923804
5119;Jussieu - Guy de la Brosse;40;48.845665,2.355653
14104;Boyer-Barret - Raymond Losserand;23;48.83329880233322,2.3173383995890617
20113;Piat - Parc de Belleville;21;48.87195626635528,2.384981390278095
15017;Place Falguière;23;48.83629973941847,2.3104464635252953
92004;Nanterre - Université;20;48.901365,2.212693
19038;Lassus - Delouvain;20;48.8755044846,2.3890327325519
20118;Orteaux - Mouraud;24;48.85558642847872,2.408762907764669
11041;Square Saint-Ambroise;43;48.860934,2.375841
42703;Fontainebleau - Edmond Michelet;45;48.80956436844049,2.3626908659935
10114;Granges aux Belles - Hôpital Saint-Louis;60;48.874794994841274,2.366669436984963
17201;Porte Maillot - Perreire;0;48.878021154637,2.2842371277102
4013;Vieille du Temple - Francs Bourgeois;29;48.858256413365815,2.35821794718504
13114;Nationale - Marcel Duchamp;23;48.82463749337136,2.3678014799952507
14007;Ferrus - Saint-Jacques;34;48.8313878,2.3408563
3101;Porte Saint-Martin;34;48.86860172112996,2.35570102930069
19030;Melun - Jean Jaurès;28;48.8837796723475,2.376477420330048
18035;René Binet - Porte de Montmartre;37;48.89905109950848,2.3365534096956253
10039;Sambre et Meuse - Villette;25;48.874405666217,2.3738072379951
10152;Gare du Nord - Place de Valenciennes;25;48.879089,2.354235
33104;Square Edmond Pépin;30;48.883656206899,2.4033531546593
16009;Saint-Didier - Raymond Poincaré;17;48.86642312020962,2.285863497192411
21213;Vanne - Général de Gaulle;25;48.815007,2.328318
8020;Batignolles - Beudant;44;48.88216401466375,2.319852970540523
15023;La Motte-Picquet - Grenelle;34;48.84858321339195,2.299347817897797
17003;Jacques Kellner - Saint-Ouen;45;48.895809485802886,2.327897409164145
9114;Faubourg Poissonnière - Dunkerque;30;48.880883445404436,2.349934279918671
15022;Emile Zola - Fondary;42;48.847051143113745,2.2953405976295476
12026;Place Ginette Hamelin;51;48.837853,2.382064
27005;Gare du Stade;20;48.9312676,2.2603778
13010;Place d'Italie - Vincent Auriol;40;48.831481874467,2.3567550292319
22201;Henri Ravera - Gabriel Péri;30;48.79722273833844,2.302115857601166
22301;Chausson - Gabriel Péri;22;48.921891003481115,2.2952306270599365
15132;Bargue -  Dutot;21;48.837884,2.308876
16103;Traktir - Foch;22;48.872755334614,2.2915497802487
2003;Saint-Denis - Réaumur;32;48.8661116315789,2.3507790675507594
1102;Française - Etienne Marcel;37;48.864053304653766,2.347587011754513
21507;Gardenat-Lapostol - Velettes;20;48.87387,2.224185
14023;Adolphe Pinard - Victor Hugo;52;48.8236825874564,2.3077843710780144
14133;Froidevaux - Boulard;35;48.835147319625,2.3294411972165
4017;Place de l'Hôtel de Ville;14;48.8573314,2.351458
2016;Aboukir - Alexandrie;21;48.86868344444473,2.3502043269474897
12164;Stade Pershing;26;48.829107826857,2.4583535268903
1013;Place du Palais Royal;67;48.862382970647,2.3384822532535
