N_CATALOGO;PROTECCION_ACTUAL;PROTECCION_97;NOMBRE;C_HOMOGENEO;OBSERVACION;EXPEDIENTE;ENLACE;COD_NDP;UTMX_ETRS;UTMY_ETRS
124;Ambiental;Ambiental;---;---;---;---;---;11005450.0;440203.66;4475496.98
125;Parcial;Parcial;---;---;---;---;---;11005455.0;440286.41;4475499.53
128;Parcial;Parcial;---;---;---;---;---;20151359.0;439614.36;4475303.23
129;Parcial;Parcial;---;---;---;---;---;11006550.0;439592.3;4475286.58
130;Parcial;Parcial;---;---;---;---;---;11006551.0;439581.52;4475297.91
131;Estructural;Estructural;---;---;---;---;---;11006552.0;439573.67;4475306.28
132;Estructural;Estructural;Con vuelta a C. Negras 2;---;---;---;---;11006598.0;439545.41;4475280.9
133;Estructural;Estructural;con vuelta a C. Negras 4;---;---;---;---;11006557.0;439564.89;4475296.32
134;Estructural;Estructural;---;---;---;---;---;11006556.0;439574.67;4475285.79
136;Estructural;Estructural;---;---;---;---;---;11006554.0;439589.73;4475269.67
137;Estructural;Estructural;---;---;---;---;---;11006548.0;439588.34;4475250.61
138;Parcial;Parcial;---;---;---;---;---;11006595.0;439567.33;4475240.31
139;Estructural;Estructural;---;---;---;---;---;11006597.0;439552.2;4475268.32
141;Parcial;Parcial;---;---;---;---;---;11006535.0;439659.7;4475314.45
142;Parcial;Parcial;---;---;---;---;---;11006534.0;439651.19;4475298.81
145;Estructural;Estructural;---;---;---;---;---;11006387.0;439762.85;4475482.29
146;Parcial;Parcial;---;---;---;---;---;11006386.0;439751.96;4475460.95
147;Estructural;Estructural;---;---;---;---;---;11006385.0;439744.35;4475445.89
148;Estructural;Estructural;---;---;---;---;---;11006384.0;439739.92;4475437.17
149;Parcial;Parcial;---;---;---;---;---;11006383.0;439736.41;4475430.27
150;Estructural;Estructural;---;---;---;---;---;11006531.0;439713.35;4475384.99
151;Estructural;Estructural;---;---;---;---;---;11006559.0;439728.14;4475388.0
152;Estructural;Estructural;---;---;---;---;---;11006558.0;439735.53;4475386.98
153;Estructural;Estructural;---;---;---;---;---;11006578.0;439733.47;4475363.04
157;Parcial;Parcial;---;---;---;---;---;11006537.0;439709.18;4475310.88
158;Parcial;Parcial;---;---;---;---;---;11006538.0;439698.09;4475316.95
159;Parcial;Parcial;---;---;---;---;---;11006528.0;439689.38;4475338.28
161;Parcial;Parcial;---;---;---;---;---;11006544.0;439682.79;4475313.18
162;Ambiental;Ambiental;---;---;---;---;---;11006543.0;439701.27;4475303.18
163;Ambiental;Ambiental;---;---;---;---;---;11006572.0;439701.42;4475280.97
164;Ambiental;Ambiental;---;---;---;---;---;11006571.0;439695.07;4475269.55
165;Parcial;Parcial;---;---;---;---;---;20006178.0;439688.5;4475257.29
166;Parcial;Parcial;---;---;---;---;---;11006570.0;439678.99;4475239.88
167;Parcial;Parcial;---;---;---;---;---;11006606.0;439660.52;4475241.52
168;Parcial;Parcial;---;---;---;---;---;11006607.0;439654.45;4475244.79
169;Integral;Integral;---;---;---;---;---;11006608.0;439644.86;4475249.97
172;Parcial;Parcial;---;---;---;---;---;11006525.0;439661.24;4475291.34
173;Parcial;Parcial;---;---;---;---;---;11006526.0;439667.62;4475303.02
174;Estructural;Estructural;---;---;---;---;---;20006212.0;439610.96;4475206.52
176;Parcial;Parcial;---;---;---;---;---;11006769.0;439672.97;4475220.18
177;Integral;Integral;---;---;---;---;---;11006768.0;439689.59;4475211.4
178;Parcial;Parcial;---;---;---;---;---;11006767.0;439701.76;4475204.84
179;Parcial;Parcial;---;---;---;---;---;11006766.0;439712.31;4475199.14
180;Estructural;Estructural;---;---;---;---;---;11006765.0;439728.21;4475190.59
181;Parcial;Parcial;---;---;---;---;---;11006777.0;439715.46;4475173.84
184;Singular;Singular;Iglesia de San Marcos;---;---;---;---;11006780.0;439674.48;4475146.97
187;Estructural;Estructural;---;---;---;---;---;20147603.0;439620.99;4475156.85
188;Estructural;Estructural;---;---;---;---;---;11006751.0;439615.19;4475185.61
189;Parcial;Parcial;Antigua Fábrica Mahou;---;---;---;---;11006397.0;439775.64;4475456.66
190;Parcial;Parcial;Edif. de apartamentos;---;---;---;---;11006366.0;439810.06;4475422.09
191;Parcial;Parcial;---;---;---;---;---;11006365.0;439808.27;4475416.07
192;Parcial;Parcial;---;---;---;---;---;11006364.0;439806.15;4475408.9
193;Parcial;Parcial;---;---;---;---;---;11006363.0;439803.77;4475400.82
194;Parcial;Parcial;---;---;---;---;---;11006391.0;439789.19;4475388.31
197;Parcial;Parcial;---;---;---;---;---;11006395.0;439762.61;4475418.04
199;Parcial;Parcial;---;---;---;---;---;11006643.0;439749.76;4475381.32
200;Parcial;Parcial;---;---;---;---;---;11006635.0;439768.37;4475382.53
202;Parcial;Parcial;---;---;---;---;---;11006629.0;439793.22;4475364.22
203;Estructural;Estructural;---;---;---;---;---;11006628.0;439790.59;4475355.32
204;Estructural;Estructural;---;---;---;---;---;11006627.0;439787.27;4475344.09
205;Estructural;Estructural;---;---;---;---;---;11006626.0;439783.58;4475331.39
206;Parcial;Parcial;---;---;---;---;---;11006625.0;439780.62;4475321.26
207;Parcial;Parcial;---;---;---;---;---;11006624.0;439778.8;4475314.9
209;Estructural;Estructural;---;---;---;---;---;11006622.0;439771.27;4475289.38
210;Parcial;Parcial;---;---;---;---;---;11006631.0;439749.04;4475288.78
211;Parcial;Parcial;---;---;---;---;---;11006632.0;439738.54;4475294.49
212;Parcial;Parcial;---;---;---;---;---;11006633.0;439732.58;4475297.79
213;Estructural;Estructural;---;---;---;---;---;11006636.0;439725.06;4475309.16
214;Parcial;Parcial;---;---;---;---;---;11006637.0;439728.1;4475318.05
215;Parcial;Parcial;---;---;---;---;---;11006638.0;439731.42;4475327.74
216;Parcial;Parcial;---;---;---;---;---;11006639.0;439733.78;4475334.69
217;Parcial;Parcial;---;---;---;---;---;11006640.0;439735.72;4475340.33
218;Parcial;Parcial;---;---;---;---;---;11006641.0;439740.1;4475353.14
219;Parcial;Parcial;---;---;---;---;---;11006642.0;439744.46;4475365.84
221;Integral;Integral;---;---;---;---;---;11006569.0;439714.1;4475284.83
222;Ambiental;Ambiental;Fue un antiguo convento;---;---;---;---;11006540.0;439757.7;4475272.37
223;Estructural;Estructural;---;---;---;---;---;11006539.0;439771.2;4475265.04
224;Parcial;Parcial;---;---;---;---;---;11006564.0;439770.71;4475242.46
225;Estructural;Estructural;---;---;---;---;---;11006563.0;439766.65;4475235.06
226;Parcial;Parcial;---;---;---;---;---;11006562.0;439759.53;4475222.02
229;Integral;Integral;Palacio Marques Sta Cruz;---;---;---;---;11006604.0;439704.21;4475217.72
230;Estructural;Estructural;Viv.guard.Palc.Sta.Cruz;---;---;---;---;11006567.0;439699.25;4475257.2
231;Parcial;Parcial;---;---;---;---;---;11006568.0;439704.9;4475267.75
236;Parcial;Parcial;---;---;---;---;---;11006670.0;439801.55;4475253.69
238;Parcial;Parcial;---;---;---;---;---;11006707.0;439799.54;4475212.94
239;Parcial;Parcial;---;---;---;---;---;11006706.0;439788.99;4475197.5
240;Estructural;Estructural;---;---;---;---;---;11006713.0;439770.38;4475179.34
241;Parcial;Parcial;---;---;---;---;---;11006714.0;439758.69;4475186.96
242;Parcial;Parcial;---;---;---;---;---;11006672.0;439768.31;4475218.01
243;Parcial;Parcial;---;---;---;---;---;11006673.0;439774.2;4475228.65
244;Parcial;Parcial;---;---;---;---;---;11006674.0;439780.44;4475240.0
245;Estructural;Estructural;---;---;---;---;---;11006764.0;439749.26;4475178.49
247;Parcial;Parcial;---;---;---;---;---;31006047.0;439707.76;4475124.26
248;Parcial;Parcial;---;---;---;---;---;11006774.0;439704.05;4475154.63
249;Parcial;Parcial;---;---;---;---;---;11006773.0;439712.81;4475160.3
251;Integral;Integral;Edificio Montano;---;---;---;---;11006783.0;439766.92;4475166.23
253;Parcial;Parcial;edificio de apartamentos;---;---;---;---;11006666.0;439835.51;4475199.4
256;Ambiental;Ambiental;---;---;---;---;---;11006664.0;439837.34;4475157.71
257;Estructural;Estructural;---;---;---;---;---;11006663.0;439837.79;4475144.38
258;Integral;Integral;---;---;---;---;---;11006711.0;439817.75;4475137.78
259;Estructural;Estructural;---;---;---;---;---;11006712.0;439786.34;4475166.7
260;Parcial;Parcial;---;---;---;---;---;11006699.0;439792.89;4475185.82
261;Ambiental;Ambiental;---;---;---;---;---;11006700.0;439801.46;4475197.75
263;Integral;Integral;Vivienda Unifamiliar;---;---;---;---;20103381.0;439888.92;4475240.44
264;Integral;Integral;Igl. Evang.Del Salvador;---;---;---;---;20147557.0;439932.58;4475235.46
265;Integral;Integral;Biblioteca M. Valdecilla;---;---;---;---;11006693.0;439947.34;4475233.84
266;Integral;Integral;---;---;---;---;---;11006717.0;439985.41;4475220.68
267;Singular;Singular;Inst. Cardenal Cisneros;---;---;---;---;11006660.0;439843.85;4475204.19
268;Singular;Singular;Antig.Universidad Central;---;---;---;---;11006715.0;439983.32;4475112.37
269;Integral;Integral;---;---;---;---;---;11006661.0;439842.62;4475221.5
270;Estructural;Estructural;---;---;---;---;---;11006763.0;439786.82;4475150.57
274;Integral;Integral;---;---;---;---;---;11006756.0;439826.23;4475090.89
275;Parcial;Parcial;---;---;---;---;---;11006757.0;439807.57;4475080.5
276;Parcial;Parcial;---;---;---;---;---;11006758.0;439795.33;4475073.62
277;Estructural;Estructural;---;---;---;---;---;11006759.0;439784.39;4475067.45
279;Estructural;Estructural;---;---;---;---;---;11006761.0;439762.71;4475055.69
280;Estructural;Estructural;---;---;---;---;---;11006754.0;439727.08;4475096.6
281;Parcial;Parcial;---;---;---;---;---;11006744.0;439731.66;4475111.12
283;Estructural;Estructural;---;---;---;---;---;11006843.0;439768.37;4475038.74
285;Estructural;Estructural;---;---;---;---;---;11006841.0;439790.29;4475051.08
286;Estructural;Estructural;---;---;---;---;---;11006840.0;439798.75;4475055.76
287;Parcial;Parcial;---;---;---;---;---;11006839.0;439813.3;4475063.81
289;Parcial;Parcial;---;---;---;---;---;11006837.0;439828.74;4475072.57
290;Parcial;Parcial;---;---;---;---;---;11006793.0;439843.89;4475073.84
291;Parcial;Parcial;---;---;---;---;---;11006792.0;439845.4;4475061.53
292;Estructural;Estructural;---;---;---;---;---;11006836.0;439862.76;4475086.28
293;Estructural;Estructural;---;---;---;---;---;11006835.0;439877.3;4475086.6
294;Estructural;Estructural;---;---;---;---;---;11006834.0;439887.81;4475087.04
295;Singular;Singular;Palacio del M. de Sonora - Ministerio Justicia;---;---;---;---;11006857.0;439981.39;4475074.17
296;Integral;Integral;Casa de Luis Araujo Costa;---;---;---;---;11006815.0;439874.9;4475064.02
297;Parcial;Parcial;Edificio Aptos. y comerc.;---;---;---;---;11006825.0;439864.34;4475055.67
299;Parcial;Parcial;---;---;---;---;---;11006823.0;439883.99;4475054.1
300;Estructural;Estructural;---;---;---;---;---;11006822.0;439903.13;4475053.01
301;Estructural;Estructural;---;---;---;---;---;11006821.0;439914.58;4475051.9
302;Parcial;Parcial;---;---;---;---;---;11006820.0;439920.5;4475051.47
303;Ambiental;Ambiental;Clinica veterinaria y viv;---;---;---;---;11006819.0;439928.64;4475050.97
304;Parcial;Parcial;---;---;---;---;---;11006818.0;439934.99;4475050.48
305;Parcial;Parcial;---;---;---;---;---;11006817.0;439940.59;4475050.07
306;Parcial;Parcial;---;---;---;---;---;11006816.0;439951.23;4475049.34
307;Parcial;Parcial;Edific. de Apartamentos;---;---;---;---;11006855.0;439976.23;4475013.11
308;Ambiental;Ambiental;---;---;---;---;---;11006861.0;439972.56;4474998.72
309;Ambiental;Ambiental;---;---;---;---;---;11006794.0;439960.36;4475002.37
310;Parcial;Parcial;---;---;---;---;---;11006795.0;439954.73;4475004.47
311;Integral;Integral;Antigua posada;---;---;---;---;11006796.0;439937.92;4475006.83
313;Estructural;Estructural;---;---;---;---;---;11006798.0;439909.32;4475009.4
315;Parcial;Parcial;---;---;---;---;---;11006830.0;439880.96;4475011.88
316;Parcial;Parcial;---;---;---;---;---;11006829.0;439871.25;4475013.48
317;Parcial;Parcial;---;---;---;---;---;11006787.0;439858.69;4475023.62
318;Parcial;Parcial;---;---;---;---;---;11006788.0;439858.06;4475032.06
319;Parcial;Parcial;---;---;---;---;---;11006789.0;439857.41;4475038.95
320;Parcial;Parcial;---;---;---;---;---;11006790.0;439856.71;4475048.42
323;Singular;Singular;Convto. Comendadoras;---;---;---;---;11006359.0;439820.15;4475480.97
324;Parcial;Parcial;---;---;---;---;---;11006373.0;439904.68;4475420.93
325;Estructural;Estructural;---;---;---;---;---;11006354.0;439925.26;4475415.66
326;Parcial;Parcial;---;---;---;---;---;11006353.0;439922.36;4475398.01
327;Parcial;Parcial;---;---;---;---;---;11006414.0;439908.69;4475372.94
328;Parcial;Parcial;---;---;---;---;---;11006415.0;439900.33;4475374.09
329;Integral;Integral;---;---;---;---;---;11006416.0;439893.93;4475374.96
330;Parcial;Parcial;---;---;---;---;---;11006417.0;439887.12;4475375.89
331;Estructural;Estructural;---;---;---;---;---;11006418.0;439876.92;4475377.26
333;Estructural;Estructural;---;---;---;---;---;11006420.0;439857.31;4475379.91
334;Parcial;Parcial;---;---;---;---;---;11006421.0;439848.38;4475381.12
336;Parcial;Parcial;---;---;---;---;---;11006374.0;439901.37;4475401.4
337;Estructural;Estructural;---;---;---;---;---;11006325.0;439831.48;4475369.29
338;Parcial;Parcial;---;---;---;---;---;20006112.0;439850.0;4475371.18
339;Estructural;Estructural;---;---;---;---;---;11006313.0;439869.87;4475368.5
341;Estructural;Estructural;---;---;---;---;---;11006315.0;439903.02;4475363.61
342;Parcial;Parcial;---;---;---;---;---;11006316.0;439913.56;4475344.48
343;Parcial;Parcial;---;---;---;---;---;11006318.0;439859.89;4475316.48
348;Parcial;Parcial;---;---;---;---;---;11006323.0;439832.85;4475351.33
349;Parcial;Parcial;---;---;---;---;---;11006324.0;439832.39;4475356.93
351;Parcial;Parcial;---;---;---;---;---;11006650.0;439862.3;4475305.89
352;Parcial;Parcial;---;---;---;---;---;11006656.0;439875.63;4475304.32
353;Parcial;Parcial;---;---;---;---;---;11006649.0;439885.79;4475303.12
354;Estructural;Estructural;---;---;---;---;---;11006648.0;439900.93;4475301.13
355;Estructural;Estructural;---;---;---;---;---;11006616.0;439901.56;4475280.65
356;Parcial;Parcial;---;---;---;---;---;11006615.0;439897.28;4475260.46
357;Parcial;Parcial;---;---;---;---;---;11006644.0;439887.09;4475250.9
358;Estructural;Estructural;---;---;---;---;---;11006645.0;439874.09;4475252.3
359;Parcial;Parcial;---;---;---;---;---;11006646.0;439863.33;4475253.46
360;Estructural;Estructural;---;---;---;---;---;11006647.0;439848.96;4475255.11
361;Parcial;Parcial;---;---;---;---;---;11006617.0;439838.31;4475273.82
362;Estructural;Estructural;---;---;---;---;---;20006184.0;439837.35;4475275.82
364;Estructural;Estructural;---;---;---;---;---;11006446.0;439954.92;4475495.7
366;Parcial;Parcial;---;---;---;---;---;11006432.0;439985.37;4475487.67
367;Parcial;Parcial;---;---;---;---;---;11006431.0;439983.49;4475474.03
368;Estructural;Estructural;Antigua pensión Mañes;---;---;---;---;11006430.0;439981.46;4475458.89
370;Parcial;Parcial;---;---;---;---;---;11006425.0;439949.45;4475442.73
372;Parcial;Parcial;---;---;---;---;---;11006350.0;439942.93;4475473.66
373;Estructural;Estructural;---;---;---;---;---;11005463.0;440300.37;4475450.13
374;Parcial;Parcial;---;---;---;---;---;11005464.0;440307.6;4475448.34
375;Parcial;Parcial;---;---;---;---;---;11005467.0;440300.99;4475418.49
376;Parcial;Parcial;---;---;---;---;---;11005468.0;440295.02;4475419.44
377;Parcial;Parcial;---;---;---;---;---;11006275.0;439933.73;4475411.47
378;Parcial;Parcial;---;---;---;---;---;11006264.0;439956.42;4475433.1
379;Parcial;Parcial;---;---;---;---;---;20006116.0;439971.71;4475434.1
380;Parcial;Parcial;---;---;---;---;---;11006265.0;439976.77;4475426.08
381;Parcial;Parcial;---;---;---;---;---;20147365.0;439974.89;4475413.79
382;Parcial;Parcial;---;---;---;---;---;11006268.0;439969.36;4475393.91
383;Estructural;Estructural;---;---;---;---;---;11006269.0;439965.94;4475382.78
384;Estructural;Estructural;---;---;---;---;---;11006270.0;439953.76;4475366.62
385;Estructural;Estructural;---;---;---;---;---;11006272.0;439936.0;4475369.15
386;Parcial;Parcial;---;---;---;---;---;11006274.0;439930.87;4475392.86
387;Parcial;Parcial;---;---;---;---;---;11006277.0;439996.45;4475435.25
388;Parcial;Parcial;---;---;---;---;---;11006278.0;440014.87;4475436.2
389;Parcial;Parcial;---;---;---;---;---;11006279.0;440027.34;4475436.85
390;Parcial;Parcial;---;---;---;---;---;11006280.0;440036.48;4475437.33
391;Ambiental;Ambiental;---;---;---;---;---;11006282.0;440034.29;4475418.19
392;Parcial;Parcial;---;---;---;---;---;11006283.0;440029.34;4475405.28
393;Parcial;Parcial;---;---;---;---;---;11006284.0;440027.45;4475401.06
395;Integral;Integral;---;---;---;---;---;11006287.0;439999.12;4475360.11
396;Estructural;Estructural;---;---;---;---;---;11006288.0;439991.86;4475361.25
398;Parcial;Parcial;---;---;---;---;---;11006290.0;439974.73;4475363.59
399;Parcial;Parcial;---;---;---;---;---;11006292.0;439976.72;4475384.24
401;Parcial;Parcial;---;---;---;---;---;11006294.0;439983.57;4475408.09
403;Parcial;Parcial;---;---;---;---;---;11006297.0;440067.15;4475431.18
404;Ambiental;Ambiental;---;---;---;---;---;11006298.0;440065.21;4475415.96
405;Estructural;Estructural;---;---;---;---;---;11006299.0;440063.26;4475408.96
406;Integral;Integral;---;---;---;---;---;11006300.0;440059.62;4475398.75
407;Integral;Integral;---;---;---;---;---;11006301.0;440054.35;4475383.97
408;Integral;Integral;---;---;---;---;---;11006302.0;440050.43;4475372.9
409;Estructural;Estructural;---;---;---;---;---;11006303.0;440031.83;4475355.41
410;Parcial;Parcial;---;---;---;---;---;11006326.0;439932.1;4475359.58
411;Estructural;Estructural;---;---;---;---;---;11006328.0;439947.24;4475357.47
412;Parcial;Parcial;---;---;---;---;---;11006329.0;439956.7;4475356.16
414;Parcial;Parcial;---;---;---;---;---;11006333.0;439997.78;4475333.09
415;Parcial;Parcial;---;---;---;---;---;11006335.0;439990.58;4475317.24
416;Estructural;Estructural;---;---;---;---;---;11006336.0;439978.63;4475301.46
417;Parcial;Parcial;---;---;---;---;---;11006338.0;439967.23;4475302.89
418;Parcial;Parcial;---;---;---;---;---;11006339.0;439956.75;4475304.22
419;Integral;Integral;---;---;---;---;---;11006340.0;439947.38;4475305.33
420;Parcial;Parcial;---;---;---;---;---;11006341.0;439939.69;4475306.31
421;Parcial;Parcial;---;---;---;---;---;11006342.0;439932.23;4475307.35
422;Parcial;Parcial;---;---;---;---;---;11006343.0;439925.7;4475308.28
423;Estructural;Estructural;---;---;---;---;---;11006344.0;439918.69;4475320.06
425;Parcial;Parcial;---;---;---;---;---;11006346.0;439922.97;4475344.1
426;Parcial;Parcial;---;---;---;---;---;11006347.0;439923.51;4475350.58
427;Estructural;Estructural;Residencia;---;---;---;---;11006330.0;439974.8;4475354.35
428;Parcial;Parcial;Palacio;---;---;---;---;11006722.0;440034.03;4475331.56
429;Estructural;Estructural;---;---;---;---;---;11006680.0;440001.58;4475317.56
430;Estructural;Estructural;---;---;---;---;---;11006720.0;440019.55;4475300.17
431;Parcial;Parcial;---;---;---;---;---;11006724.0;439995.28;4475299.15
432;Integral;Integral;Palc. Marq. Puñoenrostro;---;---;---;---;11006730.0;439928.61;4475297.84
433;Parcial;Parcial;---;---;---;---;---;11006729.0;439939.67;4475296.21
434;Parcial;Parcial;---;---;---;---;---;11006728.0;439947.13;4475295.36
