ID,RegistrationDate,District,Hood,Street,Direction,Number,Company,Places,Longitude,Latitude
59,26-06-2014,01  CENTRO,01-05 UNIVERSIDAD," CALLE, DEL, ESPIRITU SANTO"," CALLE, DEL, ESPIRITU SANTO 30",30,BiciMAD,21,-3.7041167,40.4254802
60,26-06-2014,03  RETIRO,03-05 JERÓNIMOS," PLAZA, DE LA, INDEPENDENCIA"," PLAZA, DE LA, INDEPENDENCIA 7",7,BiciMAD,24,-3.6881994,40.4194508
61,26-06-2014,03  RETIRO,03-04 IBIZA," CALLE, DE, O'DONNELL"," CALLE, DE, O'DONNELL 30",30,BiciMAD,24,-3.675206,40.4214379
62,26-06-2014,03  RETIRO,03-04 IBIZA," CALLE, DE, O'DONNELL"," CALLE, DE, O'DONNELL 48",48,BiciMAD,24,-3.6724223,40.4212986
63,26-06-2014,03  RETIRO,03-04 IBIZA," CALLE, DE, IBIZA"," CALLE, DE, IBIZA 64",64,BiciMAD,24,-3.6706508,40.4178926
65,26-06-2014,03  RETIRO,03-05 JERÓNIMOS," CALLE, DE, ANTONIO MAURA"," CALLE, DE, ANTONIO MAURA 15",15,BiciMAD,24,-3.6893825,40.4166859
67,26-06-2014,01  CENTRO,01-03 CORTES," CALLE, DE, ALMADEN"," CALLE, DE, ALMADEN 28",28,BiciMAD,24,-3.6931349,40.410829
68,26-06-2014,03  RETIRO,03-05 JERÓNIMOS," CALLE, DE, ESPALTER"," CALLE, DE, ESPALTER 1",1,BiciMAD,21,-3.6911649,40.412781
69,26-06-2014,03  RETIRO,03-05 JERÓNIMOS," CALLE, DE, ALFONSO XII"," CALLE, DE, ALFONSO XII 54",54,BiciMAD,27,-3.6888669,40.4100609
70,26-06-2014,03  RETIRO,03-05 JERÓNIMOS," AVENIDA, DE, MENENDEZ PELAYO"," AVENIDA, DE, MENENDEZ PELAYO 63",63,BiciMAD,24,-3.6777994,40.4152203
71,26-06-2014,03  RETIRO,03-06 NIÑO JESÚS," CALLE, DEL, DOCE DE OCTUBRE"," CALLE, DEL, DOCE DE OCTUBRE 28",28,BiciMAD,24,-3.674021,40.4160054
72,26-06-2014,03  RETIRO,03-06 NIÑO JESÚS," CALLE, DEL, DOCTOR ESQUERDO"," CALLE, DEL, DOCTOR ESQUERDO 62",62,BiciMAD,24,-3.669623,40.415721
76,26-06-2014,03  RETIRO,03-06 NIÑO JESÚS," AVENIDA, DEL, MEDITERRANEO"," AVENIDA, DEL, MEDITERRANEO 19",19,BiciMAD,24,-3.6751544,40.4072851
77,26-06-2014,03  RETIRO,03-01 PACÍFICO," PLAZA, DEL, CONDE DE CASAL"," PLAZA, DEL, CONDE DE CASAL 8",8,BiciMAD,22,-3.6707742,40.4063347
78,26-06-2014,03  RETIRO,03-02 ADELFAS," CALLE, DEL, CERRO DE LA PLATA"," CALLE, DEL, CERRO DE LA PLATA 2",2,BiciMAD,24,-3.6745783,40.4005704
79,26-06-2014,03  RETIRO,03-01 PACÍFICO," AVENIDA, DE, MENENDEZ PELAYO"," AVENIDA, DE, MENENDEZ PELAYO 38",38,BiciMAD,24,-3.6805524,40.4050482
82,26-06-2014,03  RETIRO,03-03 ESTRELLA," CALLE, DE LA, LIRA"," CALLE, DE LA, LIRA 2",2,BiciMAD,24,-3.669683,40.4084793
83,26-06-2014,03  RETIRO,03-06 NIÑO JESÚS," CALLE, DE, PIO BAROJA"," CALLE, DE, PIO BAROJA 8",8,BiciMAD,24,-3.6745339,40.4132589
84,26-06-2014,03  RETIRO,03-02 ADELFAS," CALLE, DEL, DOCTOR ESQUERDO"," CALLE, DEL, DOCTOR ESQUERDO 191",191,BiciMAD,24,-3.6726923,40.4033695
85,26-06-2014,03  RETIRO,03-05 JERÓNIMOS," AVENIDA, DE, MENENDEZ PELAYO"," AVENIDA, DE, MENENDEZ PELAYO 9",9,BiciMAD,27,-3.6799299,40.4211415
87,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, AYALA"," CALLE, DE, AYALA 44",44,BiciMAD,24,-3.6835631,40.4276717
88,26-06-2014,04  SALAMANCA,04-06 CASTELLANA," CALLE, DE, VELAZQUEZ"," CALLE, DE, VELAZQUEZ 73",73,BiciMAD,24,-3.6837471,40.4312077
89,26-06-2014,04  SALAMANCA,04-02 GOYA," CALLE, DE, AYALA"," CALLE, DE, AYALA 102",102,BiciMAD,24,-3.6751716,40.4272628
90,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, GOYA"," CALLE, DE, GOYA 18",18,BiciMAD,24,-3.6837297,40.4250878
090 ampliacion,18-01-2018,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, GOYA"," CALLE, DE, GOYA 20",20,BiciMAD,6,-3.6835613,40.4250791
91,26-06-2014,04  SALAMANCA,04-02 GOYA," CALLE, DE, HERMOSILLA"," CALLE, DE, HERMOSILLA 73",73,BiciMAD,24,-3.6788203,40.4261113
92,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, CLAUDIO COELLO"," CALLE, DE, CLAUDIO COELLO 45",45,BiciMAD,24,-3.6864821,40.4262237
93,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, GOYA"," CALLE, DE, GOYA 3",3,BiciMAD,24,-3.6894124,40.4256984
94,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," PASEO, DE, RECOLETOS"," PASEO, DE, RECOLETOS 22",22,BiciMAD,21,-3.6907044,40.4233686
95,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, CLAUDIO COELLO"," CALLE, DE, CLAUDIO COELLO 19",19,BiciMAD,24,-3.6869914,40.4226634
96,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, ALCALA"," CALLE, DE, ALCALA 111",111,BiciMAD,27,-3.6820471,40.4220516
97,26-06-2014,04  SALAMANCA,04-02 GOYA," AVENIDA, DE, MENENDEZ PELAYO"," AVENIDA, DE, MENENDEZ PELAYO 1",1,BiciMAD,27,-3.6801515,40.4224846
98,26-06-2014,04  SALAMANCA,04-02 GOYA," AVENIDA, DE, FELIPE II"," AVENIDA, DE, FELIPE II 5",5,BiciMAD,24,-3.6754079,40.4241911
99,26-06-2014,04  SALAMANCA,04-02 GOYA," CALLE, DE, ALCANTARA"," CALLE, DE, ALCANTARA 2",2,BiciMAD,24,-3.6739638,40.4261048
100,26-06-2014,04  SALAMANCA,04-02 GOYA," CALLE, DE, GOYA"," CALLE, DE, GOYA 99",99,BiciMAD,24,-3.6738777,40.4247843
101,26-06-2014,04  SALAMANCA,04-02 GOYA," CALLE, DE, JORGE JUAN"," CALLE, DE, JORGE JUAN 131",131,BiciMAD,24,-3.6694246,40.4231223
102,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, ALCALA"," CALLE, DE, ALCALA 95",95,BiciMAD,24,-3.6840806,40.4211552
103,26-06-2014,04  SALAMANCA,04-06 CASTELLANA," CALLE, DE, JOSE ORTEGA Y GASSET"," CALLE, DE, JOSE ORTEGA Y GASSET 4",4,BiciMAD,24,-3.6865351,40.4303733
104,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," PASEO, DE LA, CASTELLANA"," PASEO, DE LA, CASTELLANA 4",4,BiciMAD,21,-3.6895792,40.4267658
105,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, SERRANO"," CALLE, DE, SERRANO 46",46,BiciMAD,24,-3.6874745,40.4270684
106 a,26-05-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, SERRANO"," CALLE, DE, SERRANO 32",32,BiciMAD,18,-3.6878868,40.4248642
106 b,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, SERRANO"," CALLE, DE, SERRANO 34",34,BiciMAD,18,-3.6878604,40.4250085
107,26-06-2014,04  SALAMANCA,04-01 RECOLETOS," CALLE, DE, SERRANO"," CALLE, DE, SERRANO 8",8,BiciMAD,24,-3.6884243,40.4215952
108,26-06-2014,04  SALAMANCA,04-02 GOYA," CALLE, DE LAS, MARTIRES CONCEPCIONISTAS"," CALLE, DE LAS, MARTIRES CONCEPCIONISTAS 2",2,BiciMAD,27,-3.670653,40.4274425
109,26-06-2014,04  SALAMANCA,04-06 CASTELLANA," CALLE, DE, JOSE ORTEGA Y GASSET"," CALLE, DE, JOSE ORTEGA Y GASSET 32",32,BiciMAD,24,-3.6815253,40.4301281
111 a,26-06-2014,07  CHAMBERÍ,07-01 GAZTAMBIDE," CALLE, DEL, ARCIPRESTE DE HITA"," CALLE, DEL, ARCIPRESTE DE HITA 8",8,BiciMAD,24,-3.7174896,40.4335742
111 b,26-06-2014,07  CHAMBERÍ,07-01 GAZTAMBIDE," CALLE, DEL, ARCIPRESTE DE HITA"," CALLE, DEL, ARCIPRESTE DE HITA 12",12,BiciMAD,24,-3.7177783,40.433982
112,26-06-2014,09  MONCLOA-ARAVACA,09-02 ARGÜELLES," PASEO, DE, MORET"," PASEO, DE, MORET 11",11,BiciMAD,24,-3.7248727,40.4326267
113,26-06-2014,09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO," PASEO, DEL, PINTOR ROSALES"," PASEO, DEL, PINTOR ROSALES 38",38,BiciMAD,24,-3.7207145,40.4277472
114,26-06-2014,09  MONCLOA-ARAVACA,09-02 ARGÜELLES," CALLE, DE, QUINTANA"," CALLE, DE, QUINTANA 13",13,BiciMAD,24,-3.7174151,40.4278211
117,29-06-2014,09  MONCLOA-ARAVACA,09-02 ARGÜELLES," CALLE, DE, ALTAMIRANO"," CALLE, DE, ALTAMIRANO 24",24,BiciMAD,24,-3.7189152,40.4309046
118,26-06-2014,02  ARGANZUELA,02-06 PALOS DE MOGUER," CALLE, DE, JUAN MARTIN EL EMPECINADO"," CALLE, DE, JUAN MARTIN EL EMPECINADO 16",16,BiciMAD,24,-3.688135,40.4007959
119,26-06-2014,02  ARGANZUELA,02-07 ATOCHA," CALLE, DE, MENDEZ ALVARO"," CALLE, DE, MENDEZ ALVARO 7",7,BiciMAD,24,-3.6865777,40.4014567
120,26-06-2014,02  ARGANZUELA,02-06 PALOS DE MOGUER," CALLE, DE, PALOS DE LA FRONTERA"," CALLE, DE, PALOS DE LA FRONTERA 27",27,BiciMAD,24,-3.6947791,40.4030362
121,26-06-2014,02  ARGANZUELA,02-06 PALOS DE MOGUER," PASEO, DE, SANTA MARIA DE LA CABEZA"," PASEO, DE, SANTA MARIA DE LA CABEZA 58",58,BiciMAD,24,-3.6986046,40.4018356
122,26-06-2014,07  CHAMBERÍ,07-04 ALMAGRO," CALLE, DE, SANTA ENGRACIA"," CALLE, DE, SANTA ENGRACIA 16",16,BiciMAD,24,-3.6962626,40.429524
123,26-06-2014,07  CHAMBERÍ,07-01 GAZTAMBIDE," CALLE, DE, GUZMAN EL BUENO"," CALLE, DE, GUZMAN EL BUENO 2",2,BiciMAD,24,-3.7134685,40.4306386
124,04-07-2015,07  CHAMBERÍ,07-03 TRAFALGAR," CALLE, DE, MANUEL SILVELA"," CALLE, DE, MANUEL SILVELA 18",18,BiciMAD,24,-3.6993182,40.4308173
125,04-07-2015,07  CHAMBERÍ,07-04 ALMAGRO," CALLE, DE, FERNANDEZ DE LA HOZ"," CALLE, DE, FERNANDEZ DE LA HOZ 29",29,BiciMAD,24,-3.6948316,40.4353128
126,04-07-2015,07  CHAMBERÍ,07-03 TRAFALGAR," CALLE, DEL, GENERAL ALVAREZ DE CASTRO"," CALLE, DEL, GENERAL ALVAREZ DE CASTRO 4",4,BiciMAD,24,-3.7017424,40.4345672
127,04-07-2015,07  CHAMBERÍ,07-02 ARAPILES," CALLE, DE, FERNANDO EL CATOLICO"," CALLE, DE, FERNANDO EL CATOLICO 19",19,BiciMAD,24,-3.7083987,40.4339055
128,04-07-2015,07  CHAMBERÍ,07-01 GAZTAMBIDE," CALLE, DE, CEA BERMUDEZ"," CALLE, DE, CEA BERMUDEZ 59",59,BiciMAD,24,-3.7155506,40.4390329
128 ampliacion,18-03-2019,07  CHAMBERÍ,07-01 GAZTAMBIDE," CALLE, DE, CEA BERMUDEZ"," CALLE, DE, CEA BERMUDEZ 59",59,BiciMAD,3,-3.7156915,40.4390391
129,04-07-2015,07  CHAMBERÍ,07-05 RÍOS ROSAS," CALLE, DE, JOSE ABASCAL"," CALLE, DE, JOSE ABASCAL 33",33,BiciMAD,24,-3.6982818,40.4384684
130,24-06-2017,07  CHAMBERÍ,07-05 RÍOS ROSAS," CALLE, DE, SANTA ENGRACIA"," CALLE, DE, SANTA ENGRACIA 129",129,BiciMAD,20,-3.7017071,40.4417195
131,04-07-2015,07  CHAMBERÍ,07-05 RÍOS ROSAS," CALLE, DE, BRAVO MURILLO"," CALLE, DE, BRAVO MURILLO 44",44,BiciMAD,24,-3.704022,40.4417543
132,04-07-2015,07  CHAMBERÍ,07-05 RÍOS ROSAS," CALLE, DE, SANTA ENGRACIA"," CALLE, DE, SANTA ENGRACIA 168",168,BiciMAD,24,-3.7035911,40.4463889
133,04-07-2015,06  TETUÁN,06-02 CUATRO CAMINOS," CALLE, DE, DULCINEA"," CALLE, DE, DULCINEA 3",3,BiciMAD,24,-3.7000292,40.4471673
134,04-07-2015,07  CHAMBERÍ,07-05 RÍOS ROSAS," CALLE, DE, MARIA DE GUZMAN"," CALLE, DE, MARIA DE GUZMAN 58",58,BiciMAD,24,-3.6955114,40.444027
136,04-07-2015,05  CHAMARTÍN,05-01 EL VISO," PASEO, DE LA, CASTELLANA"," PASEO, DE LA, CASTELLANA 106",106,BiciMAD,24,-3.6908127,40.4452833
137,04-07-2015,05  CHAMARTÍN,05-01 EL VISO," PLAZA, DE LA, REPUBLICA ARGENTINA"," PLAZA, DE LA, REPUBLICA ARGENTINA 6",6,BiciMAD,24,-3.6852925,40.4454958
138,04-07-2015,07  CHAMBERÍ,07-05 RÍOS ROSAS," PASEO, DE LA, CASTELLANA"," PASEO, DE LA, CASTELLANA 108",108,BiciMAD,24,-3.6915818,40.4456884
140,04-07-2015,05  CHAMARTÍN,05-01 EL VISO," CALLE, DE, VELAZQUEZ"," CALLE, DE, VELAZQUEZ 134",134,BiciMAD,24,-3.6829045,40.438628
140 ampliación,28-06-2020,05  CHAMARTÍN,05-01 EL VISO," CALLE, DE, VELAZQUEZ"," CALLE, DE, VELAZQUEZ 134",134,BiciMAD,3,-3.6829127,40.4385198
141,04-07-2015,07  CHAMBERÍ,07-04 ALMAGRO," PASEO, DE LA, CASTELLANA"," PASEO, DE LA, CASTELLANA 43",43,BiciMAD,12,-3.6892902,40.4354253
143,04-07-2015,04  SALAMANCA,04-05 LISTA," CALLE, DE, DIEGO DE LEON"," CALLE, DE, DIEGO DE LEON 54",54,BiciMAD,24,-3.6782355,40.434616
144,23-06-2015,04  SALAMANCA,04-05 LISTA," CALLE, DE, JUAN BRAVO"," CALLE, DE, JUAN BRAVO 50",50,BiciMAD,24,-3.6754628,40.4323192
145,04-07-2015,04  SALAMANCA,04-05 LISTA," CALLE, DE, JOSE ORTEGA Y GASSET"," CALLE, DE, JOSE ORTEGA Y GASSET 87",87,BiciMAD,24,-3.671401,40.4297717
146,23-06-2015,05  CHAMARTÍN,05-01 EL VISO," CALLE, DE, MARIA FRANCISCA"," CALLE, DE, MARIA FRANCISCA 1",1,BiciMAD,18,-3.67879,40.4442406
147,04-07-2015,05  CHAMARTÍN,05-01 EL VISO," AVENIDA, DEL, DOCTOR ARCE"," AVENIDA, DEL, DOCTOR ARCE 45",45,BiciMAD,24,-3.6795811,40.4483353
148,04-07-2015,05  CHAMARTÍN,05-01 EL VISO," CALLE, DE, SERRANO"," CALLE, DE, SERRANO 210",210,BiciMAD,24,-3.6816993,40.4510203
149,04-07-2015,05  CHAMARTÍN,05-01 EL VISO," PASEO, DE, LA HABANA"," PASEO, DE, LA HABANA 42",42,BiciMAD,24,-3.6878512,40.4498448
